Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
Estimated Glomerular Filtration Rate,0.0238318330083821,,,0.049388443782586,0.0460696275438062,,,,0.0418747130720485,,,0.0444281531842162,0.0481805816702646,0.0432026350069667
High-Density Lipoprotein,0.0710020041544445,,,0.110647975987619,0.0727899348149882,,,,,,0.106150142378683,0.104645908346836,0.0951771756758751,0.10469083999537
Height,,,,,0.110205652421297,,,,,,,0.112464565052307,0.104259285974961,0.106369914740797
Height,,,,,0.133019984016876,,,,,,,0.128619685248899,0.129007865529315,0.125213340045335
Body Mass Index,0.0514407107448608,,,0.0744125161922434,0.0503749837668376,,,,0.0754773130720826,,0.0716591320076569,0.0720884438993001,0.0558265684339366,0.0720569081707813
High-Density Lipoprotein,0.0421955399806728,,,0.0722121244791,0.0521770250581637,,,,,,0.0701703247285471,0.0703465203513636,0.0674805247688485,0.0645986238662342
Height,,,,,0.0815623980623063,,,,,,,0.0685205768056755,0.0798771187214385,0.073159298793865
Urate,0.042008317563628,,,0.063318849487468,0.0385830630101528,,,,0.0612607715255106,,,0.0429399277614137,0.0184932790130373,0.0471416812826234
Hemoglobin A1c,0.0144855114169102,,,0.0234509805817632,0.0112095183637939,,,,,,,0.0249878019904064,0.0202669359868445,0.0219144021980472
Body Mass Index,0.0350881048159183,,,0.0530134868855159,0.0432818268905363,,,,0.0606033058780484,,0.044926239016918,0.057058009505878,0.043016747372066,0.0559099605164043
Estimated Glomerular Filtration Rate,0.0400549423665318,,,0.0784454409305532,0.0741439155592559,,,,0.0708462654465618,,,0.0760862748581324,0.0759330184090126,0.0688744433175653
High-Density Lipoprotein,0.0505129369426664,,,0.0871306625562027,0.0615239476401641,,,,,,0.082032421335395,0.0812051870803833,0.0762969881001179,0.0828029805546586
Urate,0.0493609212519453,,,0.0828929127934662,0.0739294167381676,,,,0.0747659704399263,,,0.0737229391443878,0.054882856653001,0.0639824672644137
Hemoglobin A1c,0.0225798517942507,,,0.0388510153051793,0.0191430737039392,,,,,,,0.0331215830277092,0.0357743798204288,0.0344953559924487
Body Mass Index,0.0603200226608588,,,0.0862778910278188,0.0533682417804243,,,,0.0890427420713229,,0.0845878985958933,0.0795052550359964,0.0574570408233289,0.0800411975453457
Estimated Glomerular Filtration Rate,0.0667461816493447,,,0.105427546224865,0.102968762189165,,,,0.0920789324679151,,,0.0947293882276323,0.100818892502028,0.0895126583355324
High-Density Lipoprotein,0.0580104048530587,,,0.106483231454618,0.0871943764163703,,,,,,0.101527766433645,0.0997485316252764,0.102142459251683,0.0968112571688325
Type One Diabetes,0.557199748770255,,,,0.583696227496345,,,,0.590011486329695,,0.590743068349171,0.589476244033256,0.577900501502105,0.580917705086491
Gout,0.620882007704835,,,0.646996347279262,0.637532543051444,,,,0.640608496172736,,,0.643576185634083,0.616167821567783,0.642585358424018
Stroke,0.529189627882917,,,0.537288538278668,0.533630396798662,,,,0.532603760505936,,0.532127327981025,0.529574056710689,0.526359737824632,0.531762434259545
Alzheimer's Disease,,,,,0.672048158330899,,,,,,,0.66491725570488,0.670936537279789,0.631504538000864
Type Two Diabetes,0.586148417524203,,,0.623589693355105,0.619565812482135,,,,0.611206651473936,,,0.617392496352562,0.620439952744251,0.618913999548562
Breast Cancer,0.616430837944747,,,0.649761749375084,0.64862586999431,,,,,,,0.646706413034122,0.65009129319513,0.642709379272278
Prostate Cancer,0.651239682337346,,,0.677789871698385,0.678439160227405,,,,,,0.672662189705532,0.670802060645445,0.680986891344761,0.667278477617498
Chronic Kidney Disease,0.539425888904885,,,0.548995600255784,0.54738175793963,,,,0.549408289014395,,0.545191242141716,0.54775621367898,0.545850955312403,0.5450509086328
Rheumatoid Arthirits,0.576161831769356,,,0.619520167491309,0.532732979549521,,,,0.603115871442988,,0.564677086669197,0.585636008451507,0.604866127253973,0.529232574790968
Inflammatory Bowel Disease,0.590905058393385,,,0.619385337256909,0.616290547237517,,,,0.618216315453706,,0.617535110817416,0.61658905839672,0.614775682345709,0.611957320172709
Type One Diabetes,0.524263027352308,,,,0.509682132427708,,,,0.510025101182641,,0.502619662272174,0.497211971718651,0.505923942246888,0.493056441896751
Gout,0.623452049689944,,,0.664229923326488,0.640690264124654,,,,0.660510346671203,,,0.647938685492788,0.602703703253663,0.641510464131945
Stroke,0.532672632017743,,,0.532574715173603,0.536858570348131,,,,0.534707561872203,,0.540288659829478,0.534401595382411,0.529096464550589,0.52518752035092
Type Two Diabetes,0.553740619093958,,,0.570866149855681,0.570048451483292,,,,0.563678256971711,,,0.564452467973754,0.569702037563239,0.565883335850048
Breast Cancer,0.613916693356992,,,0.628708780282296,0.631688977814553,,,,,,,0.627341471041664,0.613532962937555,0.616829025213204
Prostate Cancer,0.639462296733536,,,0.717822071341874,0.707014149944938,,,,,,0.718575788348334,0.708964757768269,0.708131194452557,0.6783128849972
Chronic Kidney Disease,0.533324585525486,,,0.541340632140035,0.541811555452513,,,,0.53661054392827,,0.537765699472614,0.535831706842524,0.539308409475513,0.536594354201479
Rheumatoid Arthirits,0.626303876779477,,,0.705652279322075,0.607966073444402,,,,0.690665462039078,,0.647191285769484,0.607415657128138,0.673169382760946,0.57062167117455
Inflammatory Bowel Disease,0.614544995556137,,,0.686413322315322,0.686094714987728,,,,0.67768733613654,,0.673524272591214,0.672593877166636,0.670373914645333,0.679513593141396
Type One Diabetes,0.665663486337517,,,,0.691758360033648,,,,0.737623599250285,,0.740717669270126,0.742209287979056,0.69901452402898,0.733638577098091
Gout,0.61193765785242,,,0.638264768243284,0.62625039296438,,,,0.633371885076321,,,0.627587748228256,0.606374213099405,0.627606324838762
Stroke,0.527002669178731,,,0.543111124479713,0.542598469814134,,,,0.537821569493755,,0.540217181673731,0.54048117157487,0.538281767781834,0.540566105394275
Alzheimer's Disease,,,,,0.623703188637112,,,,,,,0.612383886792245,0.620990091252419,0.581365483627864
Type Two Diabetes,0.583503835995028,,,0.61627695403767,0.612067477690087,,,,0.606833214977339,,,0.610973466613057,0.613061899638065,0.61324206687794
Breast Cancer,0.625932723640067,,,0.656238023357205,0.655931511186874,,,,,,,0.652073044758337,0.638266082020635,0.648042827610675
Prostate Cancer,0.664901487407907,,,0.699437183374909,0.696160125985459,,,,,,0.693628505642106,0.693511076808007,0.700317103174309,0.689461690710177
Chronic Kidney Disease,0.545232190917456,,,0.55079959471398,0.549953046659702,,,,0.549868117714234,,0.548189383642679,0.549239238514065,0.548397141687922,0.549951650446105
Rheumatoid Arthirits,0.599880359011311,,,0.635101751511194,0.505810517686163,,,,0.630385190186261,,0.601187051256161,0.633721433093494,0.633985512763061,0.61202469027598
Inflammatory Bowel Disease,0.652064993352693,,,0.687458580264381,0.684642233190798,,,,0.680133235905077,,0.6799067086126,0.679529693841561,0.684247440930133,0.673706350477033
Type One Diabetes,0.616370524987164,,,,0.711953869926129,,,,0.697067306327513,,0.693675635151394,0.691090067102593,0.631510032612955,0.697302210538701
Gout,0.598849939715767,,,0.624784685649873,0.611349559213211,,,,0.619235669881357,,,0.614115104173284,0.594796518597122,0.613251540900398
Stroke,0.519869538396539,,,0.531095567542353,0.529203248422816,,,,0.528569211559913,,0.527811515605876,0.527839512270658,0.523491418763811,0.53316251711652
Alzheimer's Disease,,,,,0.605319503854621,,,,,,,0.613626784056386,0.607961094413321,0.588890387980057
Type Two Diabetes,0.579289645404293,,,0.615257994153165,0.609950105525377,,,,0.609265574128674,,,0.611653075381564,0.609301261793944,0.610141750125393
Breast Cancer,0.616772062941699,,,0.641545414022127,0.641713369910762,,,,,,,0.635319398048724,0.628051102315208,0.631535849673489
Prostate Cancer,0.638386791212633,,,0.667116428306816,0.664939759805757,,,,,,0.659877142042902,0.662398659262377,0.666515079366009,0.65340104995202
Chronic Kidney Disease,0.550227495450856,,,0.55910815651387,0.556683134253649,,,,0.556681359140624,,0.556058236208859,0.556533941010658,0.558020740481268,0.55689651254923
Rheumatoid Arthirits,0.581052641008965,,,0.62088540564162,0.576805962328299,,,,0.602942871551962,,0.592398582777628,0.601749657893329,0.591595242471778,0.580637250265112
Inflammatory Bowel Disease,0.563312108929703,,,0.584098818049966,0.584580346584893,,,,0.584225735865944,,0.579064819672162,0.580081820078776,0.578809200399645,0.577830739930843
Gout,0.60425023420201,,,0.629731945154147,0.6001325370465,,,,0.617166208908193,,,0.603715029381707,0.568356380940215,0.613150975132005
Stroke,0.544978201131929,,,0.564503591548747,0.568593771529145,,,,0.555536028576405,,0.566118033656308,0.567254122546815,0.54599808138764,0.546279633851809
Type Two Diabetes,0.568147982953712,,,0.595477480072217,0.592082823304772,,,,0.582255339632353,,,0.588534257918443,0.59558345267335,0.595205264828164
Breast Cancer,0.586309728513457,,,0.606553309816946,0.603290533835104,,,,,,,0.613785090348128,0.601074204356755,0.603264741139595
Prostate Cancer,0.691883383776109,,,0.727001830885925,0.724974778612263,,,,,,0.709702761274894,0.703611329073721,0.728743974890707,0.718889885289392
Chronic Kidney Disease,0.545170125674336,,,0.565372431280123,0.561327241293212,,,,0.558395462747887,,0.561545242004434,0.559935299658765,0.55657626809264,0.552612532818328
Inflammatory Bowel Disease,0.618342406846993,,,0.642499987000697,0.642594881914329,,,,0.64844976809243,,0.631722589669194,0.62996703376699,0.645390707058102,0.633780379371666
Type One Diabetes,0.674369567459186,,,,0.74858281063679,,,,0.744501212477022,,0.747047433554862,0.743654193588584,0.658599495279478,0.743796090655711
Gout,0.64832183120874,,,0.685108179629412,0.675556165142912,,,,0.677868003830124,,,0.679132763654621,0.64835369862134,0.671767148641303
Stroke,0.535373915933532,,,0.553090413118292,0.554617884591026,,,,0.545197790800076,,0.549281924262375,0.552913556500406,0.550729074456678,0.553945637313536
Type Two Diabetes,0.597128496665094,,,0.635982766261479,0.629273913315467,,,,0.623773104920397,,,0.632221552924311,0.630252637936125,0.630247685955746
Breast Cancer,0.627863915714803,,,0.659789709950159,0.659758859682384,,,,,,,0.655349648252419,0.653965517747607,0.653287091487368
Prostate Cancer,0.661967455290166,,,0.691655329921933,0.690810797940291,,,,,,0.682721704127751,0.682549136793084,0.693098772690902,0.677531853248909
Chronic Kidney Disease,0.56987713531282,,,0.588513507475769,0.588717345735309,,,,0.582812139538596,,0.579861361129547,0.581982698875787,0.586159538895896,0.57879718527179
Rheumatoid Arthirits,0.608118545429534,,,0.728258037401678,0.642032436378722,,,,0.711022579166271,,0.678986246046053,0.694658864518233,0.66210804778667,0.658826390282355
Inflammatory Bowel Disease,0.647944846093015,,,0.684576345366199,0.682741927272208,,,,0.669773555607465,,0.671738833917772,0.672211231929236,0.677633220227153,0.672503259714302
Depression,0.564,,0.579,0.581,0.578,0.577,,,0.58,,0.578,0.579,0.562,0.578
Type Two Diabetes,0.607,,0.642,0.646,0.618,0.615,,,0.632,,0.639,0.639,0.64,0.64
Coronary Artery Disease,0.575,,0.597,0.604,0.561,0.59,,,0.596,,0.603,0.603,0.589,0.593
Inflammatory Bowel Disease,0.608,,0.631,0.647,0.605,0.6,,,0.639,,0.631,0.629,0.637,0.637
Multiple Sclerosis,0.629,,0.659,0.67,0.645,0.634,,,0.668,,0.659,0.666,0.643,0.634
Rheumatoid Arthirits,0.611,,0.607,0.618,0.581,0.577,,,0.621,,0.617,0.617,0.619,0.6
Prostate Cancer,0.674,,0.675,0.703,0.657,0.654,,,0.7,,0.698,0.696,0.697,0.693
Breast Cancer,0.624,,0.634,0.65,0.616,0.615,,,0.644,,0.648,0.649,0.648,0.649
Depression,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
Type Two Diabetes,0.608,,0.637,0.646,0.64,0.614,,,0.633,,,,0.645,0.642
Coronary Artery Disease,0.57,,0.596,0.604,0.531,0.59,,,0.595,,,,0.595,0.592
Inflammatory Bowel Disease,0.606,,0.635,0.651,0.649,0.601,,,0.644,,,,0.647,0.636
Multiple Sclerosis,0.63,,0.661,0.686,0.692,0.632,,,0.667,,,,0.64,0.637
Rheumatoid Arthirits,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
Prostate Cancer,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
Breast Cancer,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
Intelligence,0.074,,0.092,0.093,0.093,0.093,,,0.093,,0.089,0.092,0.065,0.079
Height,0.299,,0.301,0.346,0.304,0.305,,,0.281,,0.344,0.344,0.343,0.327
Body Mass Index,0.244,,0.271,0.296,0.261,0.284,,,0.298,,0.282,0.282,0.224,0.283
Intelligence,0.074,,0.094,0.095,0.095,0.094,,,0.096,,,,0.09,0.082
Height,0.299,,0.288,0.343,0.326,0.299,,,0.276,,,,0.335,0.324
Body Mass Index,0.245,,0.273,0.302,0.243,0.287,,,0.3,,,,0.25,0.283
Height,0.353,,0.383,0.445,0.394,0.395,,,0.425,,0.434,0.435,0.434,0.428
Body Mass Index,0.301,,0.306,0.315,0.29,0.29,,,0.332,,0.326,0.302,0.29,0.303
General Certificate of Secondary Education,0.311,,0.33,0.342,0.332,0.331,,,0.348,,0.341,0.351,0.331,0.337
Attention-deficit/hyperactivity disorder,0.15,,0.19,0.198,0.195,0.194,,,0.118,,0.207,0.189,0.155,0.184
Height,0.353,,0.38,0.453,0.446,0.4,,,0.442,,,,0.467,0.437
Body Mass Index,0.285,,0.313,0.336,0.348,0.319,,,0.333,,,,0.338,0.32
General Certificate of Secondary Education,0.315,,0.337,0.358,0.358,0.343,,,0.355,,,,0.35,0.339
Attention-deficit/hyperactivity disorder,0.144,,0.19,0.187,0.19,0.189,,,0.108,,,,0.189,0.174
