match_id,domain,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
match_0374,math,Alpha,Gamma,Beta,Delta,Epsilon,Zeta
match_0375,reasoning,Beta,Alpha,Delta,Epsilon,Zeta,Gamma
match_0376,safety,Gamma,Epsilon,Delta,Beta,Zeta,Alpha
match_0377,coding,Epsilon,Gamma,Alpha,Beta,Delta,Zeta
match_0378,math,Alpha,Gamma,Beta,Delta,Epsilon,Zeta
match_0379,reasoning,Alpha,Zeta,Gamma,Beta,Delta,Epsilon
match_0380,safety,Gamma,Delta,Epsilon,Alpha,Zeta,Beta
match_0381,coding,Alpha,Zeta,Beta,Delta,Epsilon,Gamma
match_0382,math,Alpha,Beta,Gamma,Epsilon,Delta,Zeta
match_0383,reasoning,Alpha,Epsilon,Gamma,Zeta,Delta,Beta
match_0384,safety,Gamma,Beta,Alpha,Epsilon,Zeta,Delta
match_0385,coding,Alpha,Gamma,Beta,Zeta,Epsilon,Delta
match_0386,math,Alpha,Beta,Zeta,Gamma,Epsilon,Delta
match_0387,reasoning,Zeta,Alpha,Beta,Gamma,Delta,Epsilon
match_0388,safety,Beta,Alpha,Epsilon,Gamma,Zeta,Delta
match_0389,coding,Beta,Alpha,Gamma,Epsilon,Zeta,Delta
match_0390,math,Alpha,Gamma,Epsilon,Beta,Delta,Zeta
match_0391,reasoning,Beta,Alpha,Gamma,Delta,Epsilon,Zeta
match_0392,safety,Beta,Alpha,Delta,Epsilon,Zeta,Gamma
match_0393,coding,Alpha,Gamma,Beta,Delta,Epsilon,Zeta
match_0394,math,Alpha,Epsilon,Delta,Gamma,Beta,Zeta
match_0395,reasoning,Gamma,Beta,Alpha,Delta,Epsilon,Zeta
match_0396,safety,Beta,Delta,Alpha,Gamma,Zeta,Epsilon
match_0397,coding,Alpha,Beta,Delta,Gamma,Epsilon,Zeta
match_0398,math,Gamma,Beta,Zeta,Epsilon,Alpha,Delta
match_0399,reasoning,Alpha,Gamma,Beta,Delta,Epsilon,Zeta
match_0400,safety,Zeta,Epsilon,Beta,Alpha,Delta,Gamma
match_0401,coding,Alpha,Zeta,Gamma,Epsilon,Beta,Delta
match_0402,math,Gamma,Delta,Epsilon,Beta,Zeta,Alpha
match_0403,reasoning,Alpha,Epsilon,Gamma,Beta,Zeta,Delta
match_0404,safety,Alpha,Beta,Epsilon,Zeta,Gamma,Delta
match_0405,coding,Gamma,Alpha,Beta,Epsilon,Delta,Zeta
match_0406,math,Epsilon,Alpha,Delta,Zeta,Beta,Gamma
match_0407,reasoning,Beta,Gamma,Delta,Epsilon,Alpha,Zeta
match_0408,safety,Alpha,Beta,Gamma,Zeta,Epsilon,Delta
match_0409,coding,Alpha,Epsilon,Beta,Gamma,Zeta,Delta
match_0410,math,Beta,Alpha,Epsilon,Delta,Gamma,Zeta
match_0411,reasoning,Alpha,Epsilon,Gamma,Beta,Zeta,Delta
match_0412,safety,Alpha,Gamma,Epsilon,Zeta,Beta,Delta
match_0413,coding,Epsilon,Alpha,Gamma,Beta,Delta,Zeta
match_0414,math,Beta,Delta,Zeta,Alpha,Gamma,Epsilon
match_0415,reasoning,Beta,Alpha,Delta,Zeta,Gamma,Epsilon
match_0416,safety,Delta,Alpha,Zeta,Gamma,Beta,Epsilon
match_0417,coding,Alpha,Gamma,Delta,Epsilon,Beta,Zeta
match_0418,math,Epsilon,Gamma,Zeta,Delta,Alpha,Beta
match_0419,reasoning,Alpha,Gamma,Beta,Epsilon,Zeta,Delta
match_0420,safety,Beta,Alpha,Epsilon,Gamma,Delta,Zeta
match_0421,coding,Alpha,Beta,Gamma,Zeta,Epsilon,Delta
match_0422,math,Beta,Alpha,Epsilon,Zeta,Gamma,Delta
match_0423,reasoning,Beta,Alpha,Epsilon,Gamma,Delta,Zeta
match_0424,safety,Gamma,Epsilon,Zeta,Delta,Alpha,Beta
match_0425,coding,Alpha,Beta,Delta,Zeta,Gamma,Epsilon
match_0426,math,Gamma,Beta,Alpha,Delta,Zeta,Epsilon
match_0427,reasoning,Zeta,Gamma,Beta,Alpha,Epsilon,Delta
match_0428,safety,Alpha,Gamma,Delta,Epsilon,Zeta,Beta
match_0429,coding,Alpha,Beta,Zeta,Delta,Epsilon,Gamma
match_0430,math,Beta,Alpha,Epsilon,Gamma,Zeta,Delta
match_0431,reasoning,Beta,Alpha,Epsilon,Gamma,Delta,Zeta
match_0432,safety,Epsilon,Beta,Alpha,Delta,Zeta,Gamma
match_0433,coding,Alpha,Delta,Gamma,Beta,Epsilon,Zeta
match_0434,math,Epsilon,Gamma,Beta,Alpha,Delta,Zeta
match_0435,reasoning,Epsilon,Zeta,Beta,Delta,Gamma,Alpha
match_0436,safety,Gamma,Alpha,Delta,Beta,Zeta,Epsilon
match_0437,coding,Epsilon,Alpha,Beta,Delta,Gamma,Zeta
match_0438,math,Epsilon,Delta,Gamma,Beta,Alpha,Zeta
match_0439,reasoning,Alpha,Beta,Delta,Gamma,Zeta,Epsilon
match_0440,safety,Alpha,Gamma,Zeta,Beta,Epsilon,Delta
match_0441,coding,Alpha,Beta,Gamma,Epsilon,Delta,Zeta
match_0442,math,Epsilon,Gamma,Alpha,Beta,Zeta,Delta
match_0443,reasoning,Alpha,Beta,Zeta,Epsilon,Gamma,Delta
match_0444,safety,Epsilon,Delta,Gamma,Beta,Alpha,Zeta
match_0445,coding,Alpha,Gamma,Beta,Epsilon,Zeta,Delta
match_0446,math,Alpha,Gamma,Beta,Zeta,Epsilon,Delta
match_0447,reasoning,Alpha,Beta,Zeta,Gamma,Delta,Epsilon
match_0448,safety,Alpha,Gamma,Epsilon,Zeta,Beta,Delta
match_0449,coding,Beta,Alpha,Delta,Gamma,Epsilon,Zeta
match_0450,math,Gamma,Alpha,Epsilon,Beta,Delta,Zeta
match_0451,reasoning,Alpha,Epsilon,Beta,Zeta,Gamma,Delta
match_0452,safety,Delta,Alpha,Beta,Epsilon,Zeta,Gamma
match_0453,coding,Beta,Delta,Zeta,Alpha,Epsilon,Gamma
match_0454,math,Alpha,Gamma,Delta,Beta,Epsilon,Zeta
match_0455,reasoning,Beta,Alpha,Gamma,Epsilon,Delta,Zeta
match_0456,safety,Delta,Gamma,Zeta,Epsilon,Alpha,Beta
match_0457,coding,Alpha,Zeta,Gamma,Beta,Epsilon,Delta
match_0458,math,Gamma,Beta,Alpha,Delta,Epsilon,Zeta
match_0459,reasoning,Beta,Gamma,Alpha,Epsilon,Delta,Zeta
match_0460,safety,Alpha,Gamma,Zeta,Delta,Beta,Epsilon
match_0461,coding,Beta,Alpha,Epsilon,Gamma,Zeta,Delta
match_0462,math,Beta,Alpha,Gamma,Delta,Epsilon,Zeta
match_0463,reasoning,Beta,Alpha,Delta,Epsilon,Gamma,Zeta
match_0464,safety,Beta,Alpha,Delta,Epsilon,Zeta,Gamma
match_0465,coding,Beta,Gamma,Zeta,Alpha,Delta,Epsilon
match_0466,math,Alpha,Zeta,Epsilon,Gamma,Delta,Beta
match_0467,reasoning,Alpha,Zeta,Beta,Epsilon,Gamma,Delta
match_0468,safety,Delta,Beta,Alpha,Zeta,Gamma,Epsilon
match_0469,coding,Gamma,Alpha,Beta,Zeta,Delta,Epsilon
match_0470,math,Gamma,Epsilon,Beta,Alpha,Zeta,Delta
match_0471,reasoning,Gamma,Alpha,Epsilon,Zeta,Beta,Delta
match_0472,safety,Alpha,Beta,Gamma,Zeta,Delta,Epsilon
match_0473,coding,Beta,Alpha,Delta,Epsilon,Gamma,Zeta
match_0474,math,Beta,Gamma,Alpha,Delta,Zeta,Epsilon
match_0475,reasoning,Beta,Epsilon,Gamma,Alpha,Delta,Zeta
match_0476,safety,Beta,Gamma,Delta,Alpha,Epsilon,Zeta
match_0477,coding,Gamma,Delta,Zeta,Epsilon,Beta,Alpha
match_0478,math,Beta,Delta,Epsilon,Gamma,Alpha,Zeta
match_0479,reasoning,Beta,Gamma,Alpha,Epsilon,Zeta,Delta
match_0480,safety,Alpha,Gamma,Zeta,Epsilon,Beta,Delta
match_0481,coding,Epsilon,Gamma,Delta,Alpha,Beta,Zeta
match_0482,math,Alpha,Zeta,Epsilon,Gamma,Beta,Delta
match_0483,reasoning,Alpha,Beta,Zeta,Epsilon,Gamma,Delta
match_0484,safety,Alpha,Gamma,Zeta,Delta,Epsilon,Beta
match_0485,coding,Beta,Alpha,Epsilon,Delta,Gamma,Zeta
match_0486,math,Epsilon,Gamma,Alpha,Delta,Beta,Zeta
match_0487,reasoning,Gamma,Delta,Alpha,Beta,Zeta,Epsilon
match_0488,safety,Alpha,Gamma,Delta,Beta,Zeta,Epsilon
match_0489,coding,Alpha,Delta,Gamma,Epsilon,Zeta,Beta
match_0490,math,Beta,Alpha,Delta,Gamma,Zeta,Epsilon
match_0491,reasoning,Alpha,Gamma,Zeta,Beta,Epsilon,Delta
match_0492,safety,Alpha,Zeta,Epsilon,Gamma,Beta,Delta
match_0493,coding,Gamma,Delta,Epsilon,Zeta,Alpha,Beta
match_0494,math,Epsilon,Alpha,Zeta,Delta,Gamma,Beta
match_0495,reasoning,Gamma,Delta,Alpha,Beta,Epsilon,Zeta
match_0496,safety,Zeta,Beta,Epsilon,Alpha,Delta,Gamma
match_0497,coding,Beta,Delta,Epsilon,Alpha,Gamma,Zeta
match_0498,math,Alpha,Gamma,Zeta,Beta,Delta,Epsilon
match_0499,reasoning,Beta,Zeta,Delta,Alpha,Gamma,Epsilon
match_0500,safety,Zeta,Delta,Gamma,Beta,Epsilon,Alpha
match_0501,coding,Alpha,Gamma,Epsilon,Zeta,Beta,Delta
match_0502,math,Beta,Alpha,Gamma,Delta,Epsilon,Zeta
match_0503,reasoning,Beta,Delta,Gamma,Zeta,Epsilon,Alpha
match_0504,safety,Alpha,Epsilon,Gamma,Beta,Delta,Zeta
match_0505,coding,Delta,Gamma,Beta,Alpha,Epsilon,Zeta
match_0506,math,Alpha,Beta,Zeta,Epsilon,Delta,Gamma
match_0507,reasoning,Beta,Delta,Gamma,Epsilon,Alpha,Zeta
match_0508,safety,Delta,Beta,Gamma,Alpha,Zeta,Epsilon
match_0509,coding,Alpha,Zeta,Epsilon,Gamma,Beta,Delta
match_0510,math,Alpha,Beta,Gamma,Epsilon,Zeta,Delta
match_0511,reasoning,Delta,Zeta,Alpha,Epsilon,Gamma,Beta
match_0512,safety,Alpha,Beta,Epsilon,Delta,Zeta,Gamma
match_0513,coding,Gamma,Alpha,Beta,Delta,Zeta,Epsilon
match_0514,math,Alpha,Beta,Gamma,Epsilon,Delta,Zeta
match_0515,reasoning,Alpha,Beta,Epsilon,Delta,Gamma,Zeta
match_0516,safety,Beta,Alpha,Gamma,Epsilon,Delta,Zeta
match_0517,coding,Beta,Alpha,Gamma,Delta,Epsilon,Zeta
match_0518,math,Beta,Alpha,Gamma,Epsilon,Delta,Zeta
match_0519,reasoning,Gamma,Beta,Alpha,Zeta,Epsilon,Delta
match_0520,safety,Delta,Beta,Zeta,Alpha,Gamma,Epsilon
match_0521,coding,Alpha,Gamma,Delta,Epsilon,Zeta,Beta
match_0522,math,Delta,Beta,Alpha,Epsilon,Gamma,Zeta
match_0523,reasoning,Beta,Epsilon,Alpha,Gamma,Zeta,Delta
match_0524,safety,Beta,Epsilon,Gamma,Delta,Zeta,Alpha
match_0525,coding,Zeta,Epsilon,Beta,Delta,Alpha,Gamma
match_0526,math,Gamma,Delta,Beta,Epsilon,Alpha,Zeta
match_0527,reasoning,Alpha,Epsilon,Delta,Zeta,Beta,Gamma
match_0528,safety,Delta,Zeta,Alpha,Epsilon,Gamma,Beta
match_0529,coding,Alpha,Beta,Delta,Epsilon,Zeta,Gamma
match_0530,math,Epsilon,Gamma,Alpha,Beta,Zeta,Delta
match_0531,reasoning,Epsilon,Gamma,Beta,Delta,Alpha,Zeta
match_0532,safety,Alpha,Epsilon,Gamma,Zeta,Beta,Delta
match_0533,coding,Alpha,Epsilon,Zeta,Gamma,Delta,Beta
match_0534,math,Delta,Alpha,Beta,Epsilon,Zeta,Gamma
match_0535,reasoning,Alpha,Gamma,Beta,Zeta,Delta,Epsilon
match_0536,safety,Alpha,Beta,Delta,Epsilon,Zeta,Gamma
match_0537,coding,Alpha,Epsilon,Delta,Zeta,Beta,Gamma
match_0538,math,Alpha,Gamma,Beta,Delta,Zeta,Epsilon
match_0539,reasoning,Alpha,Gamma,Delta,Epsilon,Zeta,Beta
match_0540,safety,Beta,Gamma,Delta,Zeta,Epsilon,Alpha
match_0541,coding,Alpha,Gamma,Epsilon,Zeta,Delta,Beta
match_0542,math,Beta,Gamma,Zeta,Delta,Alpha,Epsilon
match_0543,reasoning,Alpha,Delta,Epsilon,Gamma,Beta,Zeta
match_0544,safety,Delta,Beta,Zeta,Alpha,Gamma,Epsilon
match_0545,coding,Gamma,Beta,Epsilon,Delta,Alpha,Zeta
match_0546,math,Beta,Epsilon,Zeta,Delta,Gamma,Alpha
match_0547,reasoning,Beta,Delta,Alpha,Gamma,Epsilon,Zeta
match_0548,safety,Beta,Epsilon,Alpha,Delta,Gamma,Zeta
match_0549,coding,Alpha,Delta,Gamma,Epsilon,Beta,Zeta
match_0550,math,Delta,Epsilon,Beta,Alpha,Gamma,Zeta
match_0551,reasoning,Zeta,Beta,Delta,Alpha,Gamma,Epsilon
match_0552,safety,Gamma,Beta,Zeta,Epsilon,Alpha,Delta
match_0553,coding,Beta,Gamma,Delta,Epsilon,Alpha,Zeta
match_0554,math,Gamma,Epsilon,Alpha,Delta,Beta,Zeta
match_0555,reasoning,Delta,Beta,Alpha,Epsilon,Zeta,Gamma
match_0556,safety,Beta,Alpha,Delta,Zeta,Epsilon,Gamma
match_0557,coding,Alpha,Beta,Delta,Zeta,Epsilon,Gamma
match_0558,math,Beta,Zeta,Delta,Epsilon,Alpha,Gamma
match_0559,reasoning,Alpha,Delta,Beta,Gamma,Zeta,Epsilon
match_0560,safety,Zeta,Delta,Epsilon,Beta,Alpha,Gamma
