Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
CAD,0.57,,0.596,0.604,0.531,0.59,,,0.595,,,,0.595,0.592
IBD,0.606,,0.635,0.651,0.649,0.601,,,0.644,,,,0.647,0.636
MultiScler,0.63,,0.661,0.686,0.692,0.632,,,0.667,,,,0.64,0.637
RheuArth,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
PrCa,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
BrCa,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
Intelligence,0.074,,0.092,0.093,0.093,0.093,,,0.093,,0.089,0.092,0.065,0.079
Height,0.299,,0.301,0.346,0.304,0.305,,,0.281,,0.344,0.344,0.343,0.327
BMI,0.244,,0.271,0.296,0.261,0.284,,,0.298,,0.282,0.282,0.224,0.283
Intelligence,0.074,,0.094,0.095,0.095,0.094,,,0.096,,,,0.09,0.082
Height,0.299,,0.288,0.343,0.326,0.299,,,0.276,,,,0.335,0.324
BMI,0.245,,0.273,0.302,0.243,0.287,,,0.3,,,,0.25,0.283
Height,0.353,,0.383,0.445,0.394,0.395,,,0.425,,0.434,0.435,0.434,0.428
BMI,0.301,,0.306,0.315,0.29,0.29,,,0.332,,0.326,0.302,0.29,0.303
GCSE,0.311,,0.33,0.342,0.332,0.331,,,0.348,,0.341,0.351,0.331,0.337
ADHD,0.15,,0.19,0.198,0.195,0.194,,,0.118,,0.207,0.189,0.155,0.184
Height,0.353,,0.38,0.453,0.446,0.4,,,0.442,,,,0.467,0.437
BMI,0.285,,0.313,0.336,0.348,0.319,,,0.333,,,,0.338,0.32
GCSE,0.315,,0.337,0.358,0.358,0.343,,,0.355,,,,0.35,0.339
ADHD,0.144,,0.19,0.187,0.19,0.189,,,0.108,,,,0.189,0.174
Alzheimer’s disease,0.657,,,,,,,,,,0.657,,,
Alzheimer’s disease,0.656,,,,,,,,,,0.638,,,
Alzheimer’s disease,0.681,,,,,,,,,,0.629,,,
Alzheimer’s disease,0.643,,,,,,,,,,0.58,,,
Alzheimer’s disease,0.737,,,,,,,,,,0.708,,,
Alzheimer’s disease,0.683,,,,,,,,,,0.683,,,
Alzheimer’s disease,0.63,,,,,,,,,,0.66,,,
Alzheimer’s disease,0.638,,,,,,,,,,0.692,,,
Alzheimer’s disease,0.61,,,,,,,,,,0.62,,,
Alzheimer’s disease,0.72,,,,,,,,,,0.717,,,
Alzheimer’s disease,0.657,,,,,,,,,,0.657,,,
Alzheimer’s disease,0.675,,,,,,,,,,0.637,,,
Alzheimer’s disease,0.72,,,,,,,,,,0.693,,,
Alzheimer’s disease,0.66,,,,,,,,,,0.665,,,
Alzheimer’s disease,0.743,,,,,,,,,,0.74,,,
Alzheimer’s disease,0.683,,,,,,,,,,0.614,,,
Alzheimer’s disease,0.59,,,,,,,,,,0.648,,,
Alzheimer’s disease,0.7,,,,,,,,,,,,,
Alzheimer’s disease,0.575,,,,,,,,,,0.595,,,
Alzheimer’s disease,0.572,,,,,,,,,,0.7,,,
CAD,,,,0.006387997,0.01,0.005,,,0.004455963,,0.00731143,0.009,,
DBT,,,,0.01143603,0.017,0.012,,,0.007039814,,0.015455376,0.017,,
HBP,,,,0.043740328,0.06,0.041,,,0.023008199,,0.053057671,0.055,,
ATH,,,,0.017811485,0.024,0.016,,,0.01150121,,0.01968836,0.022,,
DEP,,,,0.006774739,0.01,0.01,,,0.001115938,,0.009184949,0.009,,
HT,,,,0.1471168,0.313104873,0.303584129,,,0.214859705,,0.325732585,0.331199163,,
SBP,,,,0.045108309,0.055476899,0.052356871,,,0.021305689,,0.054018927,0.055296253,,
DBP,,,,0.046262886,0.054708501,0.051804136,,,0.02291891,,0.053301843,0.054318279,,
BMI,,,,0.08761232,0.121249428,0.010965008,,,0.044146356,,0.115433544,0.115520601,,
WBCC,,,,0.058796805,0.067597088,0.059237523,,,0.031040717,,0.055962526,0.054679583,,
RBCC,,,,0.100134263,0.136714428,0.119151813,,,0.091385552,,0.134409923,0.141653821,,
HC,,,,0.079272298,0.097669522,0.08132972,,,0.046406806,,0.079492926,0.076878791,,
HP,,,,0.074449794,0.089085316,4.36105e-05,,,0.048559588,,0.078870381,0.080052813,,
MCV,,,,0.101551309,0.167368473,0.138045052,,,0.121412778,,0.148295902,0.150573494,,
MCH,,,,0.081126208,0.137203786,0.097676502,,,0.094955818,,0.113945915,0.116283875,,
MCHC,,,,0.018212139,0.021086629,0.012901581,,,0.013595069,,0.015701709,0.01779127,,
PC,,,,0.060091843,0.182453091,0.148142026,,,0.138297719,,0.185899701,0.197559175,,
LC,,,,0.018952672,0.019422087,0.016504557,,,0.011701467,,0.017188587,0.019237475,,
MC,,,,0.062019224,0.07291623,0.021600791,,,0.048282888,,0.06218338,0.067500163,,
NC,,,,0.069986203,0.084868205,0.043812638,,,0.045530317,,0.075171483,0.075684182,,
EC,,,,0.069545146,0.093174101,0.070374987,,,0.054449973,,0.076783611,0.079433997,,
BMI,0.0029,,,0.0119,,,,,,0.0079,,,,
Height,0.0011,,,0.0012,,,,,,0.0024,,,,
CVD,0.543695507,,,,,,,,,0.557629376,,,,
Depression,0.533375978,,,,,,,,,0.540023931,,,,
Heart metabolic disease burden,0.008058466,,,,,,,,,0.010488011,,,,
Height,0.036216699,,,,,,,,,0.074154482,,,,
SBMN,0.53669477,,,,,,,,,0.532986512,,,,
Migraine Diagnosis,0.527000931,,,,,,,,,0.538472682,,,,
Morning Person,0.556718705,,,,,,,,,0.56200623,,,,
CVD,0.576551998,,,,,,,,,0.589377686,,,,
Depression,0.557003245,,,,,,,,,0.569561044,,,,
Heart metabolic disease burden,0.022362217,,,,,,,,,0.031678448,,,,
Height,0.131776359,,,,,,,,,0.17073276,,,,
SBMN,0.563831433,,,,,,,,,0.58083426,,,,
Migraine Diagnosis,0.564501788,,,,,,,,,0.576838757,,,,
Morning Person,0.589321376,,,,,,,,,0.618597174,,,,
CVD,0.51849034,,,,,,,,,0.547379749,,,,
Depression,0.562478698,,,,,,,,,0.558986301,,,,
Heart metabolic disease burden,0.004376894,,,,,,,,,0.010910782,,,,
Height,0.103631612,,,,,,,,,0.112141995,,,,
SBMN,0.541536596,,,,,,,,,0.53544455,,,,
Migraine Diagnosis,0.520821389,,,,,,,,,0.543411271,,,,
Morning Person,0.5567824,,,,,,,,,0.566958104,,,,
CVD,0.510463995,,,,,,,,,0.506881452,,,,
Depression,0.51909077,,,,,,,,,0.521681775,,,,
Heart metabolic disease burden,0.002267725,,,,,,,,,0.007192525,,,,
Height,0.041067338,,,,,,,,,0.067645996,,,,
SBMN,0.559384133,,,,,,,,,0.482985977,,,,
Migraine Diagnosis,0.51706017,,,,,,,,,0.512046925,,,,
Morning Person,0.541523985,,,,,,,,,0.535474458,,,,
Schizophrenia,0.725,,0.752,,,,,,,,,,,
Schizophrenia,0.653,,0.653,,,,,,,,,,,
Schizophrenia,0.639,,0.649,,,,,,,,,,,
Schizophrenia,0.625,,0.635,,,,,,,,,,,
Schizophrenia,0.568,,0.594,,,,,,,,,,,
Height,0.084,,0.101,,,,,,,,,,,
Schizophrenia,0.725,,0.752,,,,,,,,,,,
Schizophrenia,0.678,,0.717,,,,,,,,,,,
MS,0.671,,0.692,,,,,,,,,,,
BC,0.605,,0.616,,,,,,,,,,,
T2D,0.585,,0.595,,,,,,,,,,,
CAD,0.556,,0.565,,,,,,,,,,,
BRCA,0.609,,0.617,,,,,,,,0.641,0.638,,
CAD,0.57,,0.589,,,,,,,,0.588,0.578,,
DEP,0.549,,0.555,,,,,,,,0.554,0.542,,
IBD,0.65,,0.688,,,,,,,,0.679,0.675,,
RA,0.65,,0.653,,,,,,,,0.66,0.644,,
T2DM,0.582,,0.624,,,,,,,,0.626,0.616,,
HGT,0.235,,0.263,,,,,,,,0.293,0.289,,
BMI,0.08,,0.103,,,,,,,,0.111,0.103,,
HDL,0.057,,0.088,,,,,,,,0.105,0.095,,
LDL,0.082,,0.113,,,,,,,,0.119,0.118,,
CHOL,0.075,,0.078,,,,,,,,0.1,0.094,,
TRIG,0.037,,0.061,,,,,,,,0.071,0.061,,
BRCA,,,,0.013,0.009,,,,,0.008,,0.008,,
CAD,,,,0.009,0.009,,,,,0.008,,0.008,,
PRCA,,,,0.013,0.013,,,,,0.012,,0.009,,
T1D,,,,0.003,0.002,,,,,0.003,,0.002,,
T2D,,,,0.014,0.011,,,,,0.011,,0.013,,
BD,0.562,,0.54,,,,,,0.56,,,,,
CAD,0.605,,0.6,,,,,,0.62,,,,,
CD,0.7,,0.69,,,,,,0.71,,,,,
RA,0.68,,0.676,,,,,,0.71,,,,,
T2D,0.601,,0.53,,,,,,0.6,,,,,
Height,0.267,,0.314,,,,,,,,,,0.349,
MPB,0.164,,0.19,,,,,,,,,,0.199,
BMR,0.135,,0.163,,,,,,,,,,0.174,
hBMD,0.138,,0.166,,,,,,,,,,0.188,
FVC,0.1,,0.12,,,,,,,,,,0.127,
BMI,0.1,,0.12,,,,,,,,,,0.124,
BFP,0.091,,0.108,,,,,,,,,,0.11,
FEV,0.085,,0.103,,,,,,,,,,0.11,
HC,0.085,,0.105,,,,,,,,,,0.108,
WHR,0.058,,0.071,,,,,,,,,,0.074,
BW,0.027,,0.037,,,,,,,,,,0.039,
Height,0.103,,0.133,,,,,,,,,,0.136,
BMI,0.268,,0.297,,,,,,,,,,0.322,
Height,0.091,,0.12,,,,,,,,,,0.122,
BMI,0.272,,0.301,,,,,,,,,,0.326,
T2D,0.63,,0.65,,,,,,,,,,0.66,
T1D,0.116,,0.133,,,,0.124,0.146,,,,,0.127,
CAD,0.028,,0.042,,,,0.043,0.045,,,,,0.046,
GCSE,0.061,,0.069,,,,0.079,0.069,,,,,0.071,
Eczema,0.015,,0.027,,,,0.028,0.031,,,,,0.025,
Hypertension,0.041,,0.054,,,,0.052,0.055,,,,,0.058,
MP,0.027,,0.038,,,,0.041,0.04,,,,,0.038,
TA,0.129,,0.128,,,,0.179,0.12,,,,,0.169,
AM,0.083,,0.107,,,,0.114,0.12,,,,,0.108,
BP,0.096,,0.115,,,,0.127,0.133,,,,,0.126,
BMI,0.101,,0.124,,,,0.132,0.142,,,,,0.135,
BMD,0.191,,0.21,,,,0.223,0.228,,,,,0.218,
EC,0.119,,0.13,,,,0.15,0.146,,,,,0.14,
FFR,0.072,,0.108,,,,0.108,0.111,,,,,0.106,
FVC,0.111,,0.126,,,,0.141,0.139,,,,,0.129,
Hair color,0.242,,0.251,,,,0.326,0.262,,,,,0.324,
Height,0.348,,0.382,,,,0.413,0.406,,,,,0.382,
PLT,0.204,,0.235,,,,0.243,0.233,,,,,0.234,
RDW,0.107,,0.141,,,,0.148,0.152,,,,,0.14,
RBC,0.124,,0.149,,,,0.165,0.168,,,,,0.152,
WHR,0.057,,0.078,,,,0.081,0.086,,,,,0.078,
WBC,0.076,,0.108,,,,0.115,0.12,,,,,0.107,
Asthma,0.567,0.583,0.586,0.593,0.584,0.572,,,0.576,,0.571,0.566,0.576,
BRCA,0.629,0.623,0.589,0.655,0.656,0.616,,,0.652,,0.633,0.634,0.657,
CAD,0.616,0.606,0.603,0.636,0.618,0.616,,,0.625,,0.618,0.609,0.622,
MDD,0.585,0.574,0.564,0.591,0.59,0.59,,,0.591,,0.575,0.539,0.588,
PRCA,0.673,0.665,0.635,0.702,0.701,0.644,,,0.693,,0.675,0.672,0.696,
RA,0.591,0.574,0.591,0.603,0.597,0.593,,,0.593,,0.592,0.586,0.562,
T1D,0.744,0.724,0.574,0.784,0.777,0.71,,,0.743,,0.742,0.739,0.581,
T2D,0.599,0.625,0.503,0.643,0.638,0.616,,,0.627,,0.622,0.624,0.641,
T1D,0.841,,0.874,,,,,,,,,,,
T2D,0.624,,0.628,,,,,,,,,,,
CAD,0.609,,0.604,,,,,,,,,,,
CD,0.631,,0.669,,,,,,,,,,,
RA,0.699,,0.716,,,,,,,,,,,
BD,0.674,,0.668,,,,,,,,,,,
HT,0.618,,0.611,,,,,,,,,,,
PRCA,0.57,,0.573,,,,,,0.609,,,,,0.627
TA,0.672,,0.656,,,,,,0.642,,,,,0.683
T2D,0.614,,0.522,,,,,,0.612,,,,,0.646
CAD,0.587,,0.594,,,,,,0.565,,,,,0.643
RA,0.595,,0.599,,,,,,0.585,,,,,0.602
BRCA,0.541,,0.544,,,,,,0.565,,,,,0.601
AS,0.59,,0.568,,,,,,0.604,,,,,0.618
MP,0.552,,0.57,,,,,,0.578,,,,,0.577
MDD,0.538,,0.551,,,,,,0.543,,,,,0.555
Crohn's Disease,0.69,,0.689,,,,,0.702,,,,,,
BRCA,0.598,,0.632,,,,,0.665,,,,,,
RA,0.645,,0.661,,,,,0.665,,,,,,
T2D,0.616,,0.609,,,,,0.623,,,,,,
Celiac Disease,0.624,,0.631,,,,,0.64,,,,,,
SH,0.246,,0.156,,,,,,0.255,,,,,0.302
PLT,0.156,,0.059,,,,,,0.161,,,,,0.188
BMD,0.11,,0.074,,,,,,0.156,,,,,0.159
BMR,0.108,,0.082,,,,,,0.136,,,,,0.142
BMI,0.081,,0.083,,,,,,0.108,,,,,0.107
RBC,0.109,,0.06,,,,,,0.115,,,,,0.134
AM,0.041,,0.045,,,,,,0.059,,,,,0.053
RDW,0.088,,0.036,,,,,,0.085,,,,,0.113
EOS,0.09,,0.032,,,,,,0.079,,,,,0.106
WBC,0.069,,0.03,,,,,,0.063,,,,,0.086
FVC,0.057,,0.048,,,,,,0.081,,,,,0.081
FFR,0.056,,0.032,,,,,,0.071,,,,,0.08
WHR,0.03,,0.042,,,,,,0.061,,,,,0.061
NS,0.015,,0.025,,,,,,0.027,,,,,0.026
SBP,0.023,,0.029,,,,,,0.046,,,,,0.042
YE,0.024,,0.027,,,,,,0.029,,,,,0.024
BRCA,0.621,0.659,,,,,,,0.579,,,,,
RA,0.598,0.613,,,,,,,0.595,,,,,
T1D,0.754,0.787,,,,,,,0.753,,,,,
T2D,0.591,0.638,,,,,,,0.632,,,,,
PRCA,0.68,0.717,,,,,,,0.587,,,,,
MDD,0.557,0.595,,,,,,,0.52,,,,,
CAD,0.599,0.639,,,,,,,0.63,,,,,
Asthma,0.568,0.607,,,,,,,0.587,,,,,
