workload_id,scenario,latency_alpha,latency_beta,latency_gamma,latency_delta,latency_epsilon,latency_zeta
workload_0398,medium_context,89.304,99.515,105.908,99.923,99.893,109.486
workload_0399,long_context,112.859,99.019,103.444,105.599,114.124,108.392
workload_0400,tool_heavy,106.983,102.432,112.0,118.195,114.5,116.271
workload_0401,short_context,100.245,97.435,98.863,95.207,95.684,99.426
workload_0402,medium_context,97.556,107.127,98.206,95.897,96.94,99.516
workload_0403,long_context,107.393,102.584,106.808,104.836,116.317,105.354
workload_0404,tool_heavy,113.099,112.729,111.331,120.609,111.631,111.177
workload_0405,short_context,97.696,100.138,95.655,107.682,97.092,90.281
workload_0406,medium_context,96.114,108.377,99.716,107.375,100.247,105.563
workload_0407,long_context,103.205,103.518,101.53,96.245,104.767,103.169
workload_0408,tool_heavy,115.319,114.134,118.106,119.651,110.706,118.301
workload_0409,short_context,94.199,100.462,95.36,95.461,95.646,95.03
workload_0410,medium_context,103.205,105.307,99.876,102.163,106.862,97.272
workload_0411,long_context,106.374,108.836,101.126,103.475,113.815,112.091
workload_0412,tool_heavy,109.004,113.617,121.095,117.383,118.82,112.837
workload_0413,short_context,95.457,85.639,98.914,93.236,100.503,98.603
workload_0414,medium_context,100.646,102.42,95.08,103.734,99.504,105.156
workload_0415,long_context,102.774,102.671,103.476,113.245,105.945,111.321
workload_0416,tool_heavy,109.592,117.533,113.623,105.386,111.738,114.904
workload_0417,short_context,100.268,94.759,101.436,95.99,98.692,98.871
workload_0418,medium_context,95.779,100.855,99.477,100.735,109.95,105.559
workload_0419,long_context,102.24,104.081,115.835,95.277,109.666,105.152
workload_0420,tool_heavy,112.91,110.075,108.422,115.997,114.35,110.264
workload_0421,short_context,93.76,99.445,97.103,92.794,90.5,94.456
workload_0422,medium_context,100.528,101.837,98.993,108.459,93.338,100.273
workload_0423,long_context,105.163,113.885,102.833,111.04,110.264,109.591
workload_0424,tool_heavy,112.567,100.88,107.292,115.55,110.253,120.254
workload_0425,short_context,100.192,97.418,96.318,97.188,95.32,90.968
workload_0426,medium_context,99.275,98.891,101.923,102.755,103.33,98.164
workload_0427,long_context,111.632,108.095,106.724,104.923,106.932,105.223
workload_0428,tool_heavy,118.57,111.754,107.005,112.376,117.899,117.021
workload_0429,short_context,95.639,94.333,97.092,95.88,94.92,96.196
workload_0430,medium_context,105.232,91.386,106.955,106.323,102.394,101.665
workload_0431,long_context,107.043,105.172,104.676,108.438,108.976,107.604
workload_0432,tool_heavy,116.81,110.144,115.717,114.555,114.634,112.339
workload_0433,short_context,95.374,94.541,100.085,92.393,99.02,101.716
workload_0434,medium_context,100.958,104.451,100.357,87.093,98.339,109.271
workload_0435,long_context,104.727,105.09,103.077,108.311,113.979,106.13
workload_0436,tool_heavy,108.09,123.706,108.243,118.178,123.737,112.398
workload_0437,short_context,99.814,102.127,101.02,97.781,101.86,100.703
workload_0438,medium_context,100.675,100.091,100.3,98.368,100.644,97.109
workload_0439,long_context,108.71,105.293,108.319,108.0,107.343,113.846
workload_0440,tool_heavy,106.875,111.38,111.316,114.732,119.25,116.458
workload_0441,short_context,89.536,87.664,98.529,96.66,85.714,96.887
workload_0442,medium_context,98.972,94.995,96.364,102.694,104.645,104.915
workload_0443,long_context,103.888,104.424,101.847,102.34,109.264,103.814
workload_0444,tool_heavy,108.761,116.801,113.467,118.092,120.454,118.873
workload_0445,short_context,94.08,91.897,100.526,95.084,94.041,95.887
workload_0446,medium_context,92.864,105.205,105.754,107.539,103.269,111.467
workload_0447,long_context,103.09,107.504,112.528,110.863,109.644,107.47
workload_0448,tool_heavy,104.777,108.246,114.508,113.734,118.394,110.027
workload_0449,short_context,95.501,89.127,97.946,101.582,100.564,94.491
workload_0450,medium_context,101.626,95.353,93.718,102.933,91.765,107.885
workload_0451,long_context,111.685,110.039,109.171,106.098,112.235,104.757
workload_0452,tool_heavy,113.917,110.93,107.537,122.296,120.616,120.778
workload_0453,short_context,89.423,90.931,94.005,93.584,102.493,88.688
workload_0454,medium_context,95.891,90.774,100.153,97.988,103.12,105.39
workload_0455,long_context,102.199,105.58,111.702,107.572,115.232,106.899
workload_0456,tool_heavy,111.141,111.831,108.932,108.633,109.317,124.543
workload_0457,short_context,90.022,97.748,101.114,95.997,112.564,95.223
workload_0458,medium_context,95.649,106.898,101.786,102.955,108.95,103.942
workload_0459,long_context,102.353,108.787,112.566,102.034,110.022,99.033
workload_0460,tool_heavy,101.032,107.076,116.356,109.263,116.499,111.639
workload_0461,short_context,91.018,99.306,93.78,93.375,99.954,107.549
workload_0462,medium_context,99.02,102.248,95.063,108.538,100.448,102.892
workload_0463,long_context,109.499,107.327,104.487,102.918,102.81,115.095
workload_0464,tool_heavy,99.19,105.91,114.931,116.17,114.106,107.638
workload_0465,short_context,84.455,96.763,101.608,94.953,94.811,104.772
workload_0466,medium_context,99.011,104.654,98.501,106.575,101.003,109.928
workload_0467,long_context,105.277,109.648,108.248,110.658,118.231,109.782
workload_0468,tool_heavy,110.054,104.693,114.545,105.397,111.662,120.944
workload_0469,short_context,89.54,94.013,99.775,91.788,94.447,101.692
workload_0470,medium_context,96.339,100.234,102.062,102.001,97.16,99.144
workload_0471,long_context,99.379,112.597,103.403,101.523,95.851,114.129
workload_0472,tool_heavy,109.666,110.313,108.725,112.912,113.08,107.397
workload_0473,short_context,98.535,93.231,98.741,90.802,90.878,100.27
workload_0474,medium_context,99.331,101.42,92.733,106.329,108.383,105.014
workload_0475,long_context,110.386,93.032,106.449,107.855,109.187,117.179
workload_0476,tool_heavy,111.294,112.042,105.66,110.16,111.927,111.918
workload_0477,short_context,85.202,93.893,91.588,90.451,91.907,94.697
workload_0478,medium_context,96.709,99.007,101.008,101.868,104.385,104.84
workload_0479,long_context,103.704,98.489,101.013,102.681,111.683,106.748
workload_0480,tool_heavy,112.576,114.591,108.374,108.344,121.552,118.506
workload_0481,short_context,93.603,91.648,97.732,90.088,93.709,103.476
workload_0482,medium_context,82.897,94.244,97.211,93.322,107.153,100.521
workload_0483,long_context,108.852,101.685,106.811,105.549,114.491,109.193
workload_0484,tool_heavy,110.058,114.545,109.959,118.447,121.332,119.793
workload_0485,short_context,94.93,95.053,90.402,93.481,94.653,97.118
workload_0486,medium_context,90.558,103.318,106.254,104.932,92.618,110.086
workload_0487,long_context,100.483,110.523,114.37,114.967,99.665,110.38
workload_0488,tool_heavy,116.51,112.711,119.467,117.608,122.711,117.861
workload_0489,short_context,93.138,100.037,95.501,89.489,102.907,102.98
workload_0490,medium_context,108.421,100.397,99.843,99.461,107.08,105.731
workload_0491,long_context,97.046,101.45,109.842,97.374,105.099,108.618
workload_0492,tool_heavy,109.806,110.258,114.744,115.205,110.026,115.731
workload_0493,short_context,89.66,93.823,95.256,91.43,95.832,102.172
workload_0494,medium_context,95.774,98.484,103.248,112.822,102.712,103.515
workload_0495,long_context,104.079,107.795,104.158,107.849,103.614,106.743
workload_0496,tool_heavy,114.07,106.347,103.268,116.984,110.642,105.49
workload_0497,short_context,94.896,95.164,98.904,94.952,104.891,105.398
workload_0498,medium_context,99.353,92.216,109.035,101.074,106.666,105.741
workload_0499,long_context,99.593,108.674,88.447,107.266,107.284,103.99
workload_0500,tool_heavy,115.06,110.881,108.407,120.23,112.797,116.661
workload_0501,short_context,94.891,90.794,98.149,100.177,101.943,97.078
workload_0502,medium_context,105.592,108.353,98.315,100.848,102.535,99.876
workload_0503,long_context,109.98,106.344,110.057,108.364,103.455,99.443
workload_0504,tool_heavy,107.113,113.553,117.342,110.055,113.232,110.132
workload_0505,short_context,86.344,93.025,98.831,96.535,103.53,98.922
workload_0506,medium_context,98.473,102.248,98.94,110.151,107.87,112.875
workload_0507,long_context,102.31,100.621,106.05,114.309,106.441,112.6
workload_0508,tool_heavy,110.576,101.372,110.916,112.555,121.299,126.692
workload_0509,short_context,95.922,100.332,93.368,94.323,86.543,90.523
workload_0510,medium_context,103.123,105.551,98.891,102.928,99.002,106.357
workload_0511,long_context,105.845,99.039,107.774,105.014,104.143,111.209
workload_0512,tool_heavy,109.465,113.214,106.829,116.201,116.525,116.029
workload_0513,short_context,91.071,99.948,91.242,98.344,91.965,102.094
workload_0514,medium_context,96.788,96.599,104.06,100.089,103.283,92.553
workload_0515,long_context,99.746,104.739,105.385,112.636,95.75,108.913
workload_0516,tool_heavy,116.688,111.595,115.208,112.811,114.095,117.41
workload_0517,short_context,86.635,90.015,93.553,101.868,101.247,94.717
workload_0518,medium_context,100.654,96.073,99.841,106.411,100.469,102.496
workload_0519,long_context,104.342,104.76,108.788,109.77,104.775,111.495
workload_0520,tool_heavy,107.135,117.178,107.477,110.287,114.741,113.693
workload_0521,short_context,93.98,95.793,101.857,93.881,100.801,90.689
workload_0522,medium_context,97.485,99.886,105.781,101.528,107.439,105.187
workload_0523,long_context,106.446,101.838,108.263,109.139,105.923,113.124
workload_0524,tool_heavy,110.918,106.201,107.399,114.314,116.251,118.379
workload_0525,short_context,91.83,91.452,97.636,102.068,89.103,102.223
workload_0526,medium_context,100.258,100.211,106.96,103.22,104.177,101.799
workload_0527,long_context,105.229,95.225,112.867,98.162,115.684,108.617
workload_0528,tool_heavy,105.165,112.362,112.432,111.895,112.048,113.408
workload_0529,short_context,96.655,98.818,102.068,100.67,92.515,92.966
workload_0530,medium_context,99.957,104.58,100.917,102.822,94.488,101.904
workload_0531,long_context,107.62,101.18,105.312,113.042,108.844,111.139
workload_0532,tool_heavy,116.174,112.037,114.202,113.76,127.901,118.3
workload_0533,short_context,89.845,85.854,100.652,105.193,97.535,96.155
workload_0534,medium_context,99.355,101.099,101.03,105.332,105.035,104.788
workload_0535,long_context,107.281,98.36,107.418,101.892,113.272,102.436
workload_0536,tool_heavy,114.397,109.23,107.281,117.885,120.849,116.03
workload_0537,short_context,98.824,91.509,93.089,101.936,101.586,101.363
workload_0538,medium_context,95.512,104.882,99.953,105.255,104.486,108.239
workload_0539,long_context,106.693,105.784,114.392,105.706,109.727,108.078
workload_0540,tool_heavy,110.112,113.44,117.684,115.792,114.214,117.749
workload_0541,short_context,99.206,93.365,91.992,98.727,99.229,99.41
workload_0542,medium_context,102.394,103.74,92.541,100.63,101.727,100.181
workload_0543,long_context,105.863,107.15,106.028,107.048,114.798,105.483
workload_0544,tool_heavy,105.803,114.906,109.802,111.102,110.593,118.367
workload_0545,short_context,95.5,91.279,94.334,96.197,99.766,97.873
workload_0546,medium_context,98.918,105.127,94.532,97.855,96.716,104.386
workload_0547,long_context,104.931,114.589,96.989,112.614,107.522,106.506
workload_0548,tool_heavy,113.747,108.717,110.107,109.764,113.855,112.51
workload_0549,short_context,93.288,93.467,102.886,101.171,96.694,92.224
workload_0550,medium_context,103.364,96.241,106.824,103.408,104.006,100.064
workload_0551,long_context,97.266,102.912,102.368,109.798,109.76,107.462
workload_0552,tool_heavy,112.197,109.447,114.687,114.15,118.649,113.993
workload_0553,short_context,99.168,101.421,94.168,96.66,97.348,105.002
workload_0554,medium_context,95.842,91.241,106.311,102.182,102.241,101.121
workload_0555,long_context,108.41,113.972,106.236,102.972,104.122,104.557
workload_0556,tool_heavy,116.311,116.845,119.327,110.606,114.031,113.81
workload_0557,short_context,89.945,96.803,103.54,103.912,93.062,93.727
workload_0558,medium_context,93.604,109.132,101.85,103.899,104.265,103.236
workload_0559,long_context,106.057,103.908,107.908,102.119,113.514,116.783
workload_0560,tool_heavy,116.109,109.313,115.329,108.43,112.955,117.947
workload_0561,short_context,100.671,104.189,99.911,93.638,92.965,99.115
workload_0562,medium_context,101.333,101.353,96.232,103.433,102.551,107.635
workload_0563,long_context,98.955,107.922,104.641,110.351,101.957,117.115
workload_0564,tool_heavy,114.813,102.356,106.768,105.137,110.336,114.188
workload_0565,short_context,84.937,94.622,96.853,99.355,99.879,95.779
workload_0566,medium_context,105.586,108.308,101.514,100.652,98.202,101.866
workload_0567,long_context,106.316,106.651,102.664,103.996,110.311,118.121
workload_0568,tool_heavy,100.52,113.41,116.749,116.128,111.698,116.463
workload_0569,short_context,95.312,88.138,97.635,99.723,99.448,101.793
workload_0570,medium_context,93.515,99.983,97.581,93.579,102.855,101.011
workload_0571,long_context,113.338,103.963,102.451,107.342,108.424,111.099
workload_0572,tool_heavy,110.488,112.012,110.342,114.8,115.741,109.955
workload_0573,short_context,93.64,102.695,96.192,96.976,100.189,106.665
workload_0574,medium_context,101.215,95.929,104.346,96.749,101.094,104.469
workload_0575,long_context,106.678,101.33,113.89,95.941,110.893,111.353
workload_0576,tool_heavy,112.481,115.834,111.128,116.225,110.256,117.856
workload_0577,short_context,90.671,95.211,97.023,98.777,94.732,97.442
workload_0578,medium_context,94.622,97.997,98.856,104.941,99.689,103.852
workload_0579,long_context,104.954,104.762,108.866,104.002,105.641,110.275
workload_0580,tool_heavy,109.387,112.596,105.106,111.898,110.407,117.756
workload_0581,short_context,95.544,94.771,99.654,98.783,98.475,106.293
workload_0582,medium_context,88.053,108.93,97.144,97.689,96.644,102.227
workload_0583,long_context,101.026,112.676,108.762,104.178,101.48,105.217
workload_0584,tool_heavy,118.357,111.198,111.806,101.869,114.3,121.721
workload_0585,short_context,89.057,85.458,92.457,95.183,93.39,105.743
workload_0586,medium_context,102.338,96.604,105.434,98.052,105.855,104.538
workload_0587,long_context,109.528,104.183,101.719,105.393,112.039,108.809
workload_0588,tool_heavy,102.807,109.295,117.378,113.158,117.781,105.957
workload_0589,short_context,92.489,93.884,103.035,90.842,94.855,92.336
workload_0590,medium_context,97.463,100.964,113.29,97.909,103.796,102.688
workload_0591,long_context,111.52,107.225,101.962,110.479,101.235,103.669
workload_0592,tool_heavy,112.983,107.074,114.765,107.153,116.496,117.239
workload_0593,short_context,87.248,90.77,97.129,94.572,100.886,99.237
workload_0594,medium_context,103.549,105.149,92.24,105.456,109.574,100.12
workload_0595,long_context,103.283,105.029,99.393,104.219,104.632,109.585
workload_0596,tool_heavy,111.881,113.703,104.804,118.908,113.581,117.948
workload_0597,short_context,93.214,91.274,91.903,97.07,94.39,101.23
workload_0598,medium_context,95.813,94.282,105.003,102.47,99.649,105.17
workload_0599,long_context,108.808,105.923,110.068,106.938,103.456,104.538
workload_0600,tool_heavy,114.603,112.593,114.673,112.529,117.024,115.067
workload_0601,short_context,93.035,96.434,100.945,97.829,99.959,99.57
workload_0602,medium_context,102.474,91.779,100.047,111.569,101.301,96.67
workload_0603,long_context,105.753,106.307,112.835,117.226,111.263,112.885
workload_0604,tool_heavy,105.993,109.268,110.415,108.853,118.83,114.533
workload_0605,short_context,100.491,95.745,92.654,99.126,101.344,97.277
workload_0606,medium_context,103.375,98.663,93.923,98.901,97.471,101.21
workload_0607,long_context,103.684,108.759,113.342,105.972,115.26,119.345
workload_0608,tool_heavy,109.535,114.033,114.273,115.618,111.448,111.009
workload_0609,short_context,91.515,85.119,91.107,97.918,105.289,101.63
workload_0610,medium_context,101.337,101.037,103.573,106.473,100.346,103.272
workload_0611,long_context,100.449,103.031,111.189,92.152,109.028,107.279
workload_0612,tool_heavy,115.767,111.413,112.033,110.039,113.767,112.628
workload_0613,short_context,88.028,92.35,99.732,100.544,84.68,95.719
workload_0614,medium_context,90.858,101.208,97.942,99.048,97.701,109.785
workload_0615,long_context,109.831,106.649,108.697,104.574,105.486,108.059
workload_0616,tool_heavy,105.319,108.874,112.253,107.843,119.378,122.37
workload_0617,short_context,97.777,89.9,106.72,91.136,98.477,101.561
workload_0618,medium_context,101.537,97.48,112.607,110.361,101.808,104.124
workload_0619,long_context,109.11,104.828,97.429,101.741,115.77,111.923
workload_0620,tool_heavy,114.581,112.84,112.641,114.589,116.79,116.043
workload_0621,short_context,93.412,98.541,99.756,97.971,95.32,99.046
workload_0622,medium_context,97.209,100.965,98.494,103.826,103.536,106.79
workload_0623,long_context,102.437,100.684,110.454,106.133,113.974,115.689
workload_0624,tool_heavy,105.841,102.176,115.172,104.404,113.389,109.014
workload_0625,short_context,92.517,98.606,94.193,98.959,100.197,96.399
workload_0626,medium_context,94.32,98.342,99.115,106.917,98.722,107.444
workload_0627,long_context,103.77,108.648,107.754,102.656,103.883,117.141
workload_0628,tool_heavy,118.183,110.0,117.097,118.584,101.131,116.592
workload_0629,short_context,91.028,97.898,96.848,106.838,95.641,89.665
workload_0630,medium_context,102.936,98.92,100.152,106.834,106.216,100.203
workload_0631,long_context,105.284,105.007,109.254,110.848,107.067,117.97
workload_0632,tool_heavy,113.551,114.644,111.915,113.37,122.554,124.49
workload_0633,short_context,95.286,95.653,98.776,101.723,101.82,97.488
workload_0634,medium_context,88.709,107.182,101.86,103.03,97.64,106.799
workload_0635,long_context,101.298,104.193,103.819,100.55,111.355,109.496
workload_0636,tool_heavy,117.942,110.494,114.45,117.03,111.84,115.911
workload_0637,short_context,89.426,97.467,98.849,88.93,107.485,93.795
workload_0638,medium_context,102.716,96.491,93.384,103.487,94.28,103.9
workload_0639,long_context,102.372,96.604,112.913,113.028,107.017,114.289
workload_0640,tool_heavy,106.293,113.158,112.338,102.3,117.385,111.23
workload_0641,short_context,97.278,97.939,100.223,92.72,92.734,106.966
workload_0642,medium_context,97.319,92.526,106.55,101.889,103.48,106.615
workload_0643,long_context,118.068,113.219,105.7,108.432,115.351,114.557
workload_0644,tool_heavy,111.561,110.987,115.201,106.459,121.731,112.023
workload_0645,short_context,93.039,95.264,97.002,90.814,96.583,98.598
workload_0646,medium_context,106.016,100.621,102.676,97.524,95.228,103.777
workload_0647,long_context,103.872,105.072,108.916,109.917,107.675,108.091
workload_0648,tool_heavy,120.216,114.628,108.012,112.644,117.846,111.789
workload_0649,short_context,93.015,97.645,101.16,95.927,91.241,90.409
workload_0650,medium_context,93.979,100.044,101.462,102.389,106.173,98.415
workload_0651,long_context,113.991,105.995,109.09,104.086,111.104,110.699
workload_0652,tool_heavy,108.227,105.358,113.515,107.203,116.597,115.546
workload_0653,short_context,94.837,89.373,95.178,98.321,106.026,97.797
workload_0654,medium_context,100.242,102.896,103.58,102.01,108.372,110.718
workload_0655,long_context,112.704,105.401,112.851,108.731,101.146,105.528
workload_0656,tool_heavy,113.499,112.321,106.914,117.42,112.725,115.504
workload_0657,short_context,99.793,94.972,94.237,93.951,97.441,96.422
workload_0658,medium_context,106.094,103.897,111.314,106.616,108.695,101.449
workload_0659,long_context,107.857,103.543,105.212,106.501,104.312,110.727
workload_0660,tool_heavy,110.243,114.461,111.146,115.997,113.172,122.082
workload_0661,short_context,92.065,91.708,98.027,93.517,92.768,92.49
workload_0662,medium_context,102.925,101.217,99.306,102.204,104.745,110.023
workload_0663,long_context,111.17,108.911,106.227,112.772,113.133,112.772
workload_0664,tool_heavy,111.064,103.614,111.259,110.589,119.287,115.748
workload_0665,short_context,95.89,94.638,100.273,95.37,93.758,106.232
workload_0666,medium_context,107.561,98.37,103.651,97.875,99.116,107.147
workload_0667,long_context,95.167,106.481,102.469,109.562,104.29,114.211
workload_0668,tool_heavy,113.392,114.411,120.558,113.032,107.78,113.914
workload_0669,short_context,96.576,93.665,97.937,93.023,103.603,105.33
workload_0670,medium_context,96.775,97.194,96.168,111.455,106.778,101.713
workload_0671,long_context,111.927,113.618,107.133,106.324,115.246,109.802
workload_0672,tool_heavy,108.36,114.909,109.92,110.058,97.451,107.07
workload_0673,short_context,92.068,90.332,102.74,103.151,99.483,92.993
workload_0674,medium_context,108.115,111.678,100.491,100.804,98.272,106.653
workload_0675,long_context,104.039,98.473,112.504,102.902,105.251,104.357
workload_0676,tool_heavy,108.126,109.608,113.136,111.853,109.292,115.525
workload_0677,short_context,87.675,94.106,96.549,103.328,100.894,100.944
workload_0678,medium_context,87.806,95.342,94.493,103.112,95.387,101.166
workload_0679,long_context,106.633,108.833,107.572,104.528,110.688,106.465
workload_0680,tool_heavy,101.598,108.822,113.395,112.041,114.932,109.988
workload_0681,short_context,101.714,95.305,93.484,101.843,95.095,95.033
workload_0682,medium_context,102.067,97.47,108.098,103.637,105.106,101.824
workload_0683,long_context,107.785,120.069,101.77,102.116,115.709,106.888
workload_0684,tool_heavy,117.548,108.435,110.556,114.545,116.513,108.83
workload_0685,short_context,103.197,97.729,94.72,97.433,97.732,110.336
workload_0686,medium_context,94.991,105.552,99.633,110.237,101.172,101.717
workload_0687,long_context,101.695,102.509,103.528,112.958,107.625,107.883
workload_0688,tool_heavy,106.846,120.559,115.356,112.64,114.841,112.705
workload_0689,short_context,92.429,90.025,98.168,94.394,99.64,94.43
workload_0690,medium_context,94.313,102.163,96.867,108.39,102.855,91.199
workload_0691,long_context,111.208,107.029,103.492,109.074,108.924,118.258
workload_0692,tool_heavy,109.91,121.686,108.391,118.443,116.444,113.655
workload_0693,short_context,95.149,92.491,91.375,97.656,100.596,96.012
workload_0694,medium_context,101.923,96.911,100.975,106.009,101.807,102.616
workload_0695,long_context,106.686,115.963,103.383,112.27,107.74,102.592
workload_0696,tool_heavy,101.683,114.945,120.508,115.523,110.878,124.53
workload_0697,short_context,87.618,95.093,98.01,96.807,98.359,102.811
workload_0698,medium_context,107.326,106.532,101.524,99.556,100.318,103.475
workload_0699,long_context,103.016,102.42,108.634,102.113,102.644,113.533
workload_0700,tool_heavy,109.035,102.234,125.189,115.43,112.902,105.447
workload_0701,short_context,88.142,98.329,95.434,94.36,94.601,91.061
workload_0702,medium_context,106.841,100.629,100.564,100.906,104.882,115.344
workload_0703,long_context,106.089,108.073,117.199,111.235,117.107,101.989
workload_0704,tool_heavy,106.948,116.79,112.845,113.704,109.035,112.644
workload_0705,short_context,90.552,90.586,97.574,92.752,102.49,97.141
workload_0706,medium_context,95.383,100.842,99.607,100.866,95.975,101.329
workload_0707,long_context,111.947,100.059,100.963,107.709,109.346,104.781
workload_0708,tool_heavy,109.942,116.061,106.754,118.946,109.622,119.571
workload_0709,short_context,94.132,95.117,96.093,102.163,94.578,97.868
workload_0710,medium_context,96.947,99.711,99.442,99.251,99.306,95.261
workload_0711,long_context,110.909,102.362,109.688,109.681,110.64,109.886
workload_0712,tool_heavy,118.024,109.573,115.161,107.723,119.139,116.541
workload_0713,short_context,90.531,101.948,100.342,95.943,96.878,97.695
workload_0714,medium_context,97.34,99.787,97.641,98.246,97.929,107.757
workload_0715,long_context,107.42,101.934,112.01,110.219,107.695,100.371
workload_0716,tool_heavy,112.09,110.406,112.506,117.143,110.692,122.392
workload_0717,short_context,98.366,99.442,96.448,101.544,90.944,97.354
workload_0718,medium_context,102.024,99.861,99.888,99.599,104.229,92.077
workload_0719,long_context,108.704,100.643,94.769,106.798,108.264,110.953
workload_0720,tool_heavy,109.525,108.597,110.225,114.186,99.673,120.422
workload_0721,short_context,95.945,96.113,96.629,87.252,100.42,101.778
workload_0722,medium_context,95.238,99.703,100.775,103.595,106.014,104.3
workload_0723,long_context,107.144,107.514,101.134,97.565,108.429,104.701
workload_0724,tool_heavy,115.228,103.868,112.937,105.952,117.456,118.365
workload_0725,short_context,98.101,88.943,98.329,96.824,100.342,105.084
workload_0726,medium_context,98.639,98.378,104.323,95.396,106.637,103.16
workload_0727,long_context,114.169,111.648,114.223,104.383,111.08,109.123
workload_0728,tool_heavy,101.406,110.239,112.343,107.029,112.347,120.329
workload_0729,short_context,88.431,88.874,93.864,102.238,97.789,94.266
workload_0730,medium_context,102.654,95.814,99.659,97.819,101.811,117.374
workload_0731,long_context,106.265,104.969,105.547,113.109,111.794,106.445
workload_0732,tool_heavy,111.653,122.784,122.678,112.415,110.755,108.841
workload_0733,short_context,85.74,95.153,92.224,96.629,94.531,105.724
workload_0734,medium_context,97.954,105.716,103.182,105.113,97.621,103.611
workload_0735,long_context,97.19,103.318,106.739,103.89,116.091,109.128
workload_0736,tool_heavy,108.798,108.405,118.54,112.31,116.953,123.917
workload_0737,short_context,93.824,96.211,90.383,97.736,98.063,96.434
workload_0738,medium_context,102.684,100.125,108.578,94.882,96.933,108.223
workload_0739,long_context,105.674,102.826,103.331,114.041,115.389,110.77
workload_0740,tool_heavy,106.327,119.396,121.127,107.609,113.836,115.943
workload_0741,short_context,98.906,100.258,93.713,96.045,97.373,92.466
workload_0742,medium_context,101.244,94.823,99.589,108.04,102.289,98.765
workload_0743,long_context,105.002,115.268,105.156,115.759,112.059,102.367
workload_0744,tool_heavy,112.596,115.331,109.995,107.298,116.343,112.768
workload_0745,short_context,88.43,90.611,85.425,99.304,92.64,98.827
workload_0746,medium_context,106.726,95.204,102.022,94.33,106.887,94.873
workload_0747,long_context,104.235,100.877,108.212,106.064,115.21,110.44
workload_0748,tool_heavy,110.961,108.944,110.525,110.928,114.01,114.137
workload_0749,short_context,96.525,92.535,97.761,100.665,100.707,88.697
workload_0750,medium_context,98.964,106.595,100.44,100.531,99.753,108.727
workload_0751,long_context,106.979,111.25,112.95,107.079,111.642,113.074
workload_0752,tool_heavy,118.687,113.367,111.869,115.921,118.784,112.705
workload_0753,short_context,93.865,87.525,93.143,99.104,100.524,90.809
workload_0754,medium_context,108.411,96.495,97.068,101.12,99.663,101.866
workload_0755,long_context,109.621,103.315,104.553,103.041,96.761,106.505
workload_0756,tool_heavy,116.137,108.107,113.831,119.667,107.867,125.724
workload_0757,short_context,91.269,99.496,92.237,99.018,107.695,98.174
workload_0758,medium_context,96.108,106.456,97.414,106.787,102.941,102.095
workload_0759,long_context,106.011,110.832,107.508,98.776,112.37,110.398
workload_0760,tool_heavy,112.013,115.362,114.894,117.061,120.119,118.926
workload_0761,short_context,95.814,90.711,95.25,95.122,96.918,97.749
workload_0762,medium_context,104.523,104.297,95.813,102.674,105.955,103.619
workload_0763,long_context,102.194,100.585,115.941,113.112,106.095,109.123
workload_0764,tool_heavy,112.285,112.296,106.449,117.252,113.407,110.882
workload_0765,short_context,95.315,83.847,90.55,93.062,105.874,95.868
workload_0766,medium_context,93.833,102.685,104.606,108.576,103.334,106.287
workload_0767,long_context,102.801,105.737,95.526,107.681,112.379,108.528
workload_0768,tool_heavy,113.048,114.246,114.656,113.449,119.338,112.603
workload_0769,short_context,92.83,91.486,96.114,93.404,101.526,88.77
workload_0770,medium_context,99.486,101.798,91.939,100.611,105.259,113.616
workload_0771,long_context,107.323,100.597,105.402,104.699,109.732,109.399
workload_0772,tool_heavy,105.659,107.81,114.794,117.275,113.017,106.939
workload_0773,short_context,94.295,104.759,99.217,92.2,94.241,104.43
workload_0774,medium_context,94.178,97.593,106.406,99.548,94.656,105.173
workload_0775,long_context,109.063,112.04,111.002,110.493,106.307,112.273
workload_0776,tool_heavy,108.757,109.367,110.823,120.752,111.25,115.741
workload_0777,short_context,96.985,95.311,99.801,94.684,98.011,98.081
workload_0778,medium_context,98.168,105.875,102.473,108.104,108.65,105.7
workload_0779,long_context,104.715,102.766,110.537,105.596,106.818,108.268
workload_0780,tool_heavy,114.513,113.955,120.466,117.376,114.177,113.204
workload_0781,short_context,92.001,98.935,96.578,92.44,94.022,98.222
workload_0782,medium_context,96.379,101.077,101.383,104.614,104.964,106.92
workload_0783,long_context,102.872,107.489,112.544,115.779,114.882,106.187
workload_0784,tool_heavy,110.547,107.942,112.566,115.008,122.1,110.451
workload_0785,short_context,92.802,95.195,96.272,99.061,95.637,97.718
workload_0786,medium_context,100.975,98.677,100.891,102.397,104.632,105.904
workload_0787,long_context,108.478,101.62,102.829,106.723,107.475,101.037
workload_0788,tool_heavy,119.735,107.303,109.718,114.323,113.311,117.607
workload_0789,short_context,91.385,96.081,96.619,92.679,101.016,94.241
workload_0790,medium_context,105.112,96.881,104.233,108.172,103.997,103.374
workload_0791,long_context,108.757,112.206,108.942,112.429,106.129,102.781
workload_0792,tool_heavy,100.801,113.33,112.946,111.913,108.225,111.511
workload_0793,short_context,95.896,101.151,100.849,108.78,96.135,103.417
workload_0794,medium_context,91.777,105.827,103.213,93.757,109.294,100.773
workload_0795,long_context,107.503,107.844,112.307,109.4,108.527,107.134
