game_id,event,white,black,Magnus Carlsen,Fabiano Caruana,Ding Liren,Ian Nepomniachtchi,Alireza Firouzja,Wesley So,Anish Giri,Levon Aronian,Maxime Vachier-Lagrave
326,Norway Chess,Alireza Firouzja,Anish Giri,,,,,1.0,,0.0,,
327,Tata Steel,Ding Liren,Magnus Carlsen,0.0,,1.0,,,,,,
328,Tata Steel,Magnus Carlsen,Alireza Firouzja,0.5,,,,0.5,,,,
329,Candidates,Maxime Vachier-Lagrave,Levon Aronian,,,,,,,,0.0,1.0
330,World Championship,Wesley So,Levon Aronian,,,,,,0.5,,0.5,
331,Tata Steel,Fabiano Caruana,Anish Giri,,0.5,,,,,0.5,,
332,World Championship,Ding Liren,Magnus Carlsen,0.0,,1.0,,,,,,
333,World Championship,Ding Liren,Ian Nepomniachtchi,,,1.0,0.0,,,,,
334,Tata Steel,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0,,
335,Norway Chess,Ding Liren,Anish Giri,,,1.0,,,,0.0,,
336,Norway Chess,Fabiano Caruana,Anish Giri,,0.0,,,,,1.0,,
337,Norway Chess,Maxime Vachier-Lagrave,Wesley So,,,,,,0.5,,,0.5
338,Candidates,Ding Liren,Maxime Vachier-Lagrave,,,1.0,,,,,,0.0
339,Candidates,Wesley So,Alireza Firouzja,,,,,0.5,0.5,,,
